"logo","club","nation","value_table","points_overall","mio_per_point","status"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/1091.png"" height=""40""></img>","PAOK Thessaloniki","GRE","<p style=""color:darkgreen"">   47,800,000 €</p>",15,"<b>3.19</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/10690.png"" height=""40""></img>","Zorya Luhansk","UKR","<p style=""color:darkgreen"">   17,150,000 €</p>",5,"<b>3.43</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/255.png"" height=""40""></img>","Legia Warsaw","POL","<p style=""color:darkgreen"">   31,100,000 €</p>",9,"<b>3.46</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/687.png"" height=""40""></img>","Molde FK","NOR","<p style=""color:darkgreen"">   25,500,000 €</p>",7,"<b>3.64</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/501.png"" height=""40""></img>","Bodø/Glimt","NOR","<p style=""color:darkgreen"">   31,000,000 €</p>",8,"<b>3.88</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/1008.png"" height=""40""></img>","HJK Helsinki","FIN","<p style=""color:darkgreen"">    8,050,000 €</p>",2,"<b>4.03</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/190.png"" height=""40""></img>","FC København","DEN","<p style=""color:darkgreen"">   60,600,000 €</p>",15,"<b>4.04</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/1064.png"" height=""40""></img>","Maccabi Haifa","ISR","<p style=""color:darkgreen"">   21,060,000 €</p>",5,"<b>4.21</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/61.png"" height=""40""></img>","Servette FC","SUI","<p style=""color:darkgreen"">   26,100,000 €</p>",6,"<b>4.35</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/197.png"" height=""40""></img>","Sparta Praha","CZE","<p style=""color:darkgreen"">   44,480,000 €</p>",10,"<b>4.45</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/31614.png"" height=""40""></img>","Ludogorets Razgrad","BUL","<p style=""color:darkgreen"">   41,250,000 €</p>",9,"<b>4.58</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/3948.png"" height=""40""></img>","Union Saint-Gilloise","BEL","<p style=""color:darkgreen"">   37,400,000 €</p>",8,"<b>4.68</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/22220.png"" height=""40""></img>","FK Astana","KAZ","<p style=""color:darkgreen"">   14,180,000 €</p>",3,"<b>4.73</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/279.png"" height=""40""></img>","Ferencváros","HUN","<p style=""color:darkgreen"">   49,650,000 €</p>",9,"<b>5.52</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/2778.png"" height=""40""></img>","FC Nordsjælland","DEN","<p style=""color:darkgreen"">   39,150,000 €</p>",7,"<b>5.59</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/10586.png"" height=""40""></img>","Aris Limassol","CYP","<p style=""color:darkgreen"">   17,180,000 €</p>",3,"<b>5.73</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/2282.png"" height=""40""></img>","Club Brugge","BEL","<p style=""color:darkgreen"">  136,450,000 €</p>",20,"<b>6.82</b>","&#x2714;&#xFE0F;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/365.png"" height=""40""></img>","Spartak Trnava","SVK","<p style=""color:darkgreen"">    7,250,000 €</p>",1,"<b>7.25</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/415.png"" height=""40""></img>","Toulouse FC","FRA","<p style=""color:darkgreen"">   72,900,000 €</p>",10,"<b>7.29</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/683.png"" height=""40""></img>","Olympiakos Piraeus","GRE","<p style=""color:darkgreen"">   89,250,000 €</p>",12,"<b>7.44</b>","&#x2714;&#xFE0F;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/157.png"" height=""40""></img>","AA Gent","BEL","<p style=""color:darkgreen"">   83,450,000 €</p>",10,"<b>8.35</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/124.png"" height=""40""></img>","Rangers","SCO","<p style=""color:darkgreen"">  117,380,000 €</p>",14,"<b>8.38</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/2790.png"" height=""40""></img>","FC Lugano","SUI","<p style=""color:darkgreen"">   26,160,000 €</p>",3,"<b>8.72</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/660.png"" height=""40""></img>","Shakhtar Donetsk","UKR","<p style=""color:darkgreen"">   98,900,000 €</p>",10,"<b>9.89</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/452.png"" height=""40""></img>","Young Boys","SUI","<p style=""color:darkgreen"">   71,750,000 €</p>",7,"<b>10.25</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/383.png"" height=""40""></img>","PSV Eindhoven","NED","<p style=""color:darkgreen"">  183,830,000 €</p>",17,"<b>10.81</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/122.png"" height=""40""></img>","Sturm Graz","AUT","<p style=""color:darkgreen"">   47,600,000 €</p>",4,"<b>11.9</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/419.png"" height=""40""></img>","Dinamo Zagreb","CRO","<p style=""color:darkgreen"">  111,700,000 €</p>",9,"<b>12.41</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/1082.png"" height=""40""></img>","Lille OSC","FRA","<p style=""color:darkgreen"">  211,500,000 €</p>",17,"<b>12.44</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/60.png"" height=""40""></img>","SC Freiburg","GER","<p style=""color:darkgreen"">  165,350,000 €</p>",13,"<b>12.72</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/9644.png"" height=""40""></img>","Raków Czestochowa","POL","<p style=""color:darkgreen"">   38,900,000 €</p>",3,"<b>12.97</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/1050.png"" height=""40""></img>","Villarreal","ESP","<p style=""color:darkgreen"">  209,700,000 €</p>",16,"<b>13.11</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/159.png"" height=""40""></img>","Red Star Belgrade","SRB","<p style=""color:darkgreen"">   67,330,000 €</p>",5,"<b>13.47</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/2481.png"" height=""40""></img>","Sheriff Tiraspol","MOL","<p style=""color:darkgreen"">   13,530,000 €</p>",1,"<b>13.53</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/430.png"" height=""40""></img>","Fiorentina","ITA","<p style=""color:darkgreen"">  273,150,000 €</p>",20,"<b>13.66</b>","&#x2714;&#xFE0F;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/398.png"" height=""40""></img>","Lazio","ITA","<p style=""color:darkgreen"">  270,100,000 €</p>",18,"<b>15.01</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/36.png"" height=""40""></img>","Fenerbahçe","TUR","<p style=""color:darkgreen"">  212,780,000 €</p>",14,"<b>15.2</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/800.png"" height=""40""></img>","Atalanta","ITA","<p style=""color:darkgreen"">  363,750,000 €</p>",23,"<b>15.82</b>","&#x2714;&#xFE0F;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/720.png"" height=""40""></img>","FC Porto","POR","<p style=""color:darkgreen"">  302,800,000 €</p>",19,"<b>15.94</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/15.png"" height=""40""></img>","Bayer Leverkusen","GER","<p style=""color:darkgreen"">  433,950,000 €</p>",27,"<b>16.07</b>","&#x2714;&#xFE0F;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/1096.png"" height=""40""></img>","Royal Antwerp","BEL","<p style=""color:darkgreen"">   98,000,000 €</p>",6,"<b>16.33</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/371.png"" height=""40""></img>","Celtic","SCO","<p style=""color:darkgreen"">  118,650,000 €</p>",7,"<b>16.95</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/244.png"" height=""40""></img>","Olympique Marseille","FRA","<p style=""color:darkgreen"">  311,200,000 €</p>",18,"<b>17.29</b>","&#x2714;&#xFE0F;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/1075.png"" height=""40""></img>","Sporting Braga","POR","<p style=""color:darkgreen"">  123,700,000 €</p>",7,"<b>17.67</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/12.png"" height=""40""></img>","AS Roma","ITA","<p style=""color:darkgreen"">  353,950,000 €</p>",20,"<b>17.7</b>","&#x2714;&#xFE0F;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/16.png"" height=""40""></img>","Borussia Dortmund","GER","<p style=""color:darkgreen"">  461,160,000 €</p>",26,"<b>17.74</b>","&#x2714;&#xFE0F;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/413.png"" height=""40""></img>","LASK","AUT","<p style=""color:darkgreen"">   36,150,000 €</p>",2,"<b>18.08</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/1184.png"" height=""40""></img>","Racing Genk","BEL","<p style=""color:darkgreen"">  127,250,000 €</p>",7,"<b>18.18</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/379.png"" height=""40""></img>","West Ham United","ENG","<p style=""color:darkgreen"">  362,900,000 €</p>",19,"<b>19.1</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/336.png"" height=""40""></img>","Sporting CP Lisbon","POR","<p style=""color:darkgreen"">  230,400,000 €</p>",12,"<b>19.2</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/265.png"" height=""40""></img>","Panathinaikos","GRE","<p style=""color:darkgreen"">   57,750,000 €</p>",3,"<b>19.25</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/826.png"" height=""40""></img>","RC Lens","FRA","<p style=""color:darkgreen"">  192,900,000 €</p>",10,"<b>19.29</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/2441.png"" height=""40""></img>","AEK Athens","GRE","<p style=""color:darkgreen"">   59,650,000 €</p>",3,"<b>19.88</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/681.png"" height=""40""></img>","Real Sociedad","ESP","<p style=""color:darkgreen"">  381,050,000 €</p>",18,"<b>21.17</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/13.png"" height=""40""></img>","Atlético Madrid","ESP","<p style=""color:darkgreen"">  519,400,000 €</p>",24,"<b>21.64</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/3137.png"" height=""40""></img>","TSC Backa Topola","SRB","<p style=""color:darkgreen"">   21,980,000 €</p>",1,"<b>21.98</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/23826.png"" height=""40""></img>","RB Leipzig","GER","<p style=""color:darkgreen"">  406,900,000 €</p>",18,"<b>22.61</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/46.png"" height=""40""></img>","Internazionale","ITA","<p style=""color:darkgreen"">  492,350,000 €</p>",20,"<b>24.62</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/294.png"" height=""40""></img>","Benfica","POR","<p style=""color:darkgreen"">  348,130,000 €</p>",14,"<b>24.87</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/1090.png"" height=""40""></img>","AZ Alkmaar","NED","<p style=""color:darkgreen"">  100,750,000 €</p>",4,"<b>25.19</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/234.png"" height=""40""></img>","Feyenoord","NED","<p style=""color:darkgreen"">  202,980,000 €</p>",8,"<b>25.37</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/409.png"" height=""40""></img>","FC Salzburg","AUT","<p style=""color:darkgreen"">  180,350,000 €</p>",7,"<b>25.76</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/141.png"" height=""40""></img>","Galatasaray","TUR","<p style=""color:darkgreen"">  226,830,000 €</p>",8,"<b>28.35</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/1237.png"" height=""40""></img>","Brighton & Hove Albion","ENG","<p style=""color:darkgreen"">  465,650,000 €</p>",16,"<b>29.1</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/273.png"" height=""40""></img>","Stade Rennais","FRA","<p style=""color:darkgreen"">  330,300,000 €</p>",10,"<b>33.03</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/89.png"" height=""40""></img>","Union Berlin","GER","<p style=""color:darkgreen"">  202,000,000 €</p>",6,"<b>33.67</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/6195.png"" height=""40""></img>","Napoli","ITA","<p style=""color:darkgreen"">  575,000,000 €</p>",17,"<b>33.82</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/131.png"" height=""40""></img>","FC Barcelona","ESP","<p style=""color:darkgreen"">  784,000,000 €</p>",23,"<b>34.09</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/418.png"" height=""40""></img>","Real Madrid","ESP","<p style=""color:darkgreen"">  998,000,000 €</p>",29,"<b>34.41</b>","&#x2714;&#xFE0F;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/5.png"" height=""40""></img>","AC Milan","ITA","<p style=""color:darkgreen"">  552,250,000 €</p>",16,"<b>34.52</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/405.png"" height=""40""></img>","Aston Villa","ENG","<p style=""color:darkgreen"">  588,500,000 €</p>",17,"<b>34.62</b>","&#x2714;&#xFE0F;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/27.png"" height=""40""></img>","Bayern München","GER","<p style=""color:darkgreen"">  969,300,000 €</p>",28,"<b>34.62</b>","&#x2714;&#xFE0F;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/368.png"" height=""40""></img>","Sevilla","ESP","<p style=""color:darkgreen"">  209,650,000 €</p>",6,"<b>34.94</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/150.png"" height=""40""></img>","Real Betis","ESP","<p style=""color:darkgreen"">  232,900,000 €</p>",6,"<b>38.82</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/24.png"" height=""40""></img>","Eintracht Frankfurt","GER","<p style=""color:darkgreen"">  275,900,000 €</p>",7,"<b>39.41</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/31.png"" height=""40""></img>","Liverpool","ENG","<p style=""color:darkgreen"">  836,800,000 €</p>",20,"<b>41.84</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/114.png"" height=""40""></img>","Besiktas","TUR","<p style=""color:darkgreen"">  126,750,000 €</p>",3,"<b>42.25</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/583.png"" height=""40""></img>","Paris Saint-Germain","FRA","<p style=""color:darkgreen"">1,020,000,000 €</p>",23,"<b>44.35</b>","&#x2714;&#xFE0F;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/281.png"" height=""40""></img>","Manchester City","ENG","<p style=""color:darkgreen"">1,250,000,000 €</p>",28,"<b>44.64</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/610.png"" height=""40""></img>","Ajax","NED","<p style=""color:darkgreen"">  226,300,000 €</p>",5,"<b>45.26</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/11.png"" height=""40""></img>","Arsenal","ENG","<p style=""color:darkgreen"">1,210,000,000 €</p>",22,"<b>55</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/762.png"" height=""40""></img>","Newcastle United","ENG","<p style=""color:darkgreen"">  599,000,000 €</p>",8,"<b>74.88</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/985.png"" height=""40""></img>","Manchester United","ENG","<p style=""color:darkgreen"">  870,400,000 €</p>",7,"<b>124.34</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/3737.png"" height=""40""></img>","Breidablik","ISL","<p style=""color:darkgreen"">    2,990,000 €</p>",0,"<b>-</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/1109.png"" height=""40""></img>","BK Häcken","SWE","<p style=""color:darkgreen"">   22,750,000 €</p>",0,"<b>-</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/6621.png"" height=""40""></img>","Cukaricki Belgrade","SRB","<p style=""color:darkgreen"">   25,460,000 €</p>",0,"<b>-</b>","&#x274C;"
