"country","team","scored_points","status"
"Germany","Eintracht Frankfurt",1.35714285714286,"out"
"Germany","Union Berlin",0.857142857142857,"out"
"England","Manchester City",3.5,"out"
"England","Arsenal",2.75,"out"
"England","Liverpool",2.5,"out"
"England","West Ham United",2.375,"out"
"England","Aston Villa",2.375,"out"
"England","Brighton & Hove Albion",2,"out"
"England","Newcastle United",1,"out"
"England","Manchester United",0.875,"out"
"France","Paris Saint-Germain",3.83333333333333,"out"
"France","Olympique Marseille",3.66666666666667,"out"
"France","Lille OSC",3.08333333333333,"out"
"France","Stade Rennais",2,"out"
"France","RC Lens",1.83333333333333,"out"
"France","Toulouse FC",1.83333333333333,"out"
"Spain","Real Madrid",4.25,"out"
"Spain","Atlético Madrid",3,"out"
"Spain","FC Barcelona",2.875,"out"
"Spain","Real Sociedad",2.25,"out"
"Spain","Villarreal",2,"out"
"Spain","Real Betis",0.875,"out"
"Spain","Sevilla",0.75,"out"
"Spain","Osasuna",0.0625,"out"
"Belgium","Club Brugge",5.1,"out"
"Belgium","AA Gent",3.2,"out"
"Belgium","Union Saint-Gilloise",2.6,"out"
"Belgium","Racing Genk",1.9,"out"
"Belgium","Royal Antwerp",1.6,"out"
"Czech Republic","Viktoria Plzen",5.625,"out"
"Czech Republic","Slavia Praha",4.375,"out"
"Czech Republic","Sparta Praha",3.5,"out"
"Czech Republic","Bohemians Praha",0,"out"
"Turkey","Fenerbahçe",5,"out"
"Turkey","Galatasaray",3.875,"out"
"Turkey","Besiktas",2.25,"out"
"Turkey","Adana Demirspor",0.875,"out"
"Greece","Olympiakos Piraeus",4.9,"out"
"Greece","PAOK Thessaloniki",4,"out"
"Greece","Panathinaikos",1.1,"out"
"Greece","AEK Athens",0.9,"out"
"Greece","Aris Thessaloniki",0.5,"out"
"Portugal","FC Porto",3.16666666666667,"out"
"Portugal","Benfica",2.83333333333333,"out"
"Portugal","Sporting CP Lisbon",2.5,"out"
"Portugal","Sporting Braga",2.16666666666667,"out"
"Portugal","Vitória Guimarães",0.166666666666667,"out"
"Portugal","FC Arouca",0.166666666666667,"out"
"Netherlands","PSV Eindhoven",4.1,"out"
"Netherlands","Feyenoord",2,"out"
"Netherlands","Ajax",1.8,"out"
"Netherlands","AZ Alkmaar",1.4,"out"
"Netherlands","FC Twente Enschede",0.7,"out"
"Israel","Maccabi Tel-Aviv",4.75,"out"
"Israel","Maccabi Haifa",3.375,"out"
"Israel","Hapoel Beer-Sheva",0.5,"out"
"Israel","Beitar Jerusalem",0.125,"out"
"Denmark","FC København",4.875,"out"
"Denmark","FC Nordsjælland",2.625,"out"
"Denmark","FC Midtjylland",0.75,"out"
"Denmark","AGF Aarhus",0.25,"out"
"Norway","Bodø/Glimt",3.625,"out"
"Norway","Molde FK",3.25,"out"
"Norway","Rosenborg BK",0.625,"out"
"Norway","SK Brann Bergen",0.5,"out"
"Poland","Legia Warsaw",3.125,"out"
"Poland","Raków Czestochowa",2.25,"out"
"Poland","Lech Poznan",0.75,"out"
"Poland","Pogon Szczecin",0.75,"out"
"Scotland","Rangers",3.2,"out"
"Scotland","Celtic",1.4,"out"
"Scotland","Aberdeen",1.1,"out"
"Scotland","Hibernian",0.5,"out"
"Scotland","Hearts FC",0.2,"out"
"Azerbaijan","Qarabag FK",4.75,"out"
"Azerbaijan","Sabah FK",0.75,"out"
"Azerbaijan","Neftchi Baku",0.375,"out"
"Azerbaijan","Gabala FK",0,"out"
"Croatia","GNK Dinamo",3.875,"out"
"Croatia","NK Rijeka",1.125,"out"
"Croatia","NK Osijek",0.75,"out"
"Croatia","Hajduk Split",0.125,"out"
"Switzerland","Servette FC",2.1,"out"
"Switzerland","Young Boys",1.9,"out"
"Switzerland","FC Lugano",0.6,"out"
"Switzerland","FC Luzern",0.4,"out"
"Switzerland","FC Basel",0.2,"out"
"Slovakia","Slovan Bratislava",3,"out"
"Slovakia","Spartak Trnava",1.25,"out"
"Slovakia","MSK Zilina",0.5,"out"
"Slovakia","DAC Dunajska Streda",0.25,"out"
"Austria","Sturm Graz",1.6,"out"
"Austria","FC Salzburg",1.4,"out"
"Austria","LASK",0.7,"out"
"Austria","Austria Wien",0.6,"out"
"Austria","Rapid Wien",0.5,"out"
"Hungary","Ferencváros",3.875,"out"
"Hungary","DVSC Debrecen",0.375,"out"
"Hungary","Kecskeméti TE",0.25,"out"
"Hungary","Zalaegerszegi TE",0,"out"
"Bulgaria","Ludogorets Razgrad",3.375,"out"
"Bulgaria","Levski Sofia",1,"out"
"Bulgaria","CSKA 1948 Sofia",0,"out"
"Bulgaria","CSKA Sofia",0,"out"
"Ukraine","Shakhtar Donetsk",2.2,"out"
"Ukraine","Zorya Luhansk",1.2,"out"
"Ukraine","SC Dnipro-1",0.3,"out"
"Ukraine","Vorskla Poltava",0.2,"out"
"Ukraine","Dynamo Kyiv",0.2,"out"
"Slovenia","Olimpija Ljubljana",2,"out"
"Slovenia","NK Celje",0.875,"out"
"Slovenia","NK Maribor",0.75,"out"
"Slovenia","NK Domzale",0.25,"out"
"Iceland","Breidablik",2.33333333333333,"out"
"Iceland","KA Akureyri",1.16666666666667,"out"
"Iceland","Vikingur Reykjavik",0.333333333333333,"out"
"Cyprus","Aris Limassol",1.5,"out"
"Cyprus","APOEL Nicosia",1,"out"
"Cyprus","Omonia Nicosia",0.75,"out"
"Cyprus","AEK Larnaca",0.5,"out"
"Romania","Farul Constanta",1.5,"out"
"Romania","Sepsi OSK",1,"out"
"Romania","FCSB",0.625,"out"
"Romania","CFR Cluj",0.125,"out"
"Kazakhstan","FK Astana",1.75,"out"
"Kazakhstan","Tobol Kustanai",0.875,"out"
"Kazakhstan","FK Aktobe",0.375,"out"
"Kazakhstan","Ordabasy Shymkent",0.125,"out"
"Kosovo","FC Ballkani",2.25,"out"
"Kosovo","KF Dukagjini",0.5,"out"
"Kosovo","SC Gjilani",0.125,"out"
"Kosovo","FC Drita",0.125,"out"
"Faroe Islands","KI Klaksvik",1.75,"out"
"Faroe Islands","B36 Torshavn",0.75,"out"
"Faroe Islands","Víkingur",0.125,"out"
"Faroe Islands","HB Torshavn",0.125,"out"
"Luxembourg","F91 Dudelange",0.75,"out"
"Luxembourg","Swift Hesperange",0.75,"out"
"Luxembourg","Progrès Niederkorn",0.625,"out"
"Luxembourg","Differdange 03",0.125,"out"
"Armenia","Pyunik Yerevan",1,"out"
"Armenia","Alashkert FC",0.625,"out"
"Armenia","Ararat-Armenia",0.375,"out"
"Armenia","Urartu FC",0.25,"out"
"Bosnia-Herzegovina","Zrinjski Mostar",1.5,"out"
"Bosnia-Herzegovina","Zeljeznicar Sarajevo",0.5,"out"
"Bosnia-Herzegovina","FK Sarajevo",0.25,"out"
"Bosnia-Herzegovina","FK Borac Banja Luka",0,"out"
"Albania","Partizani Tirana",1.25,"out"
"Albania","KF Tirana",0.375,"out"
"Albania","Egnatia Rrogozhinë",0.25,"out"
"Albania","Vllaznia Shkodër",0.25,"out"
"Moldova","Sheriff Tiraspol",1.5,"out"
"Moldova","Zimbru Chisinau",0.375,"out"
"Moldova","Milsami Orhei",0.125,"out"
"Moldova","Petrocub Hîncesti",0,"out"
"Sweden","BK Häcken",1.625,"out"
"Sweden","Djurgårdens IF",0.125,"out"
"Sweden","Hammarby IF",0.125,"out"
"Sweden","Kalmar FF",0,"out"
"Belarus","Neman Grodno",0.75,"out"
"Belarus","BATE Borisov",0.75,"out"
"Belarus","Dinamo Minsk",0.125,"out"
"Belarus","Torpedo Zhodino",0.125,"out"
"Finland","HJK Helsinki",1.375,"out"
"Finland","Haka Valkeakoski",0.125,"out"
"Finland","Honka Espoo",0.125,"out"
"Finland","KuPS Kuopio",0.125,"out"
"Andorra","Inter Club d'Escaldes",0.833333333333333,"out"
"Andorra","FC Santa Coloma",0.833333333333333,"out"
"Andorra","Atlètic Club d'Escaldes",0,"out"
"Latvia","RFS Riga",0.5,"out"
"Latvia","Valmieras FK",0.5,"out"
"Latvia","Riga FC",0.5,"out"
"Latvia","FK Auda",0.125,"out"
"Ireland","Derry City",1,"out"
"Ireland","Dundalk",0.5,"out"
"Ireland","St. Patrick's Athletic",0,"out"
"Ireland","Shamrock Rovers",0,"out"
"North Macedonia","FC Struga",0.875,"out"
"North Macedonia","FK Shkupi",0.375,"out"
"North Macedonia","Shkendija Tetovo",0.25,"out"
"North Macedonia","Makedonija GjP",0,"out"
"Malta","Hamrun Spartans",0.5,"out"
"Malta","Gzira United",0.5,"out"
"Malta","Balzan FC",0.375,"out"
"Malta","Birkirkara",0.125,"out"
"Serbia","Crvena zvezda",1,"out"
"Serbia","Partizan Belgrade",0.2,"out"
"Serbia","TSC Backa Topola",0.2,"out"
"Serbia","Vojvodina Novi Sad",0,"out"
"Serbia","Cukaricki Belgrade",0,"out"
"Montenegro","Sutjeska Niksic",0.833333333333333,"out"
"Montenegro","Buducnost Podgorica",0.333333333333333,"out"
"Montenegro","Arsenal Tivat",0.166666666666667,"out"
"Georgia","Torpedo Kutaisi",0.5,"out"
"Georgia","Dila Gori",0.5,"out"
"Georgia","Dinamo Batumi",0.125,"out"
"Georgia","Dinamo Tbilisi",0.125,"out"
"Northern Ireland","Crusaders Belfast",0.5,"out"
"Northern Ireland","Glentoran",0.25,"out"
"Northern Ireland","Linfield Belfast",0.25,"out"
"Northern Ireland","Larne FC",0.125,"out"
"Lithuania","FK Panevezys",0.5,"out"
"Lithuania","Zalgiris Vilnius",0.5,"out"
"Lithuania","FC Hegelmann",0.125,"out"
"Lithuania","Kauno Zalgiris",0,"out"
"Wales","Haverfordwest County",0.375,"out"
"Wales","Penybont",0.125,"out"
"Wales","The New Saints",0.125,"out"
"Wales","Connah's Quay",0,"out"
"Liechtenstein","FC Vaduz",0.5,"out"
"San Marino","Cosmos",0.166666666666667,"out"
"San Marino","La Fiorita",0.166666666666667,"out"
"San Marino","Tre Penne",0,"out"
"Gibraltar","FCB Magpies",0.166666666666667,"out"
"Gibraltar","Europa FC",0,"out"
"Gibraltar","Lincoln Red Imps",0,"out"
"Estonia","Paide Linnameeskond",0.125,"out"
"Estonia","Levadia Tallinn",0,"out"
"Estonia","Trans Narva",0,"out"
"Estonia","Flora Tallinn",0,"out"
"England","Manchester City",4.71428571428571,"out"
"England","West Ham United",4.42857142857143,"out"
"England","Manchester United",3.14285714285714,"out"
"England","Chelsea",3,"out"
"England","Liverpool",2.71428571428571,"out"
"England","Tottenham Hotspur",2.57142857142857,"out"
"England","Arsenal",2.42857142857143,"out"
"Italy","Internazionale",4.14285714285714,"out"
"Italy","Fiorentina",3.64285714285714,"out"
"Italy","Napoli",3.57142857142857,"out"
"Italy","AC Milan",3.42857142857143,"out"
"Italy","AS Roma",3.42857142857143,"out"
"Italy","Juventus",2.85714285714286,"out"
"Italy","Lazio",1.28571428571429,"out"
"Germany","Bayern München",3.375,"out"
"Germany","Bayer Leverkusen",2.625,"out"
"Germany","RB Leipzig",2.25,"out"
"Germany","Borussia Dortmund",2.25,"out"
"Germany","Eintracht Frankfurt",2,"out"
"Germany","SC Freiburg",1.875,"out"
"Germany","Union Berlin",1.875,"out"
"Germany","1.FC Köln",0.875,"out"
"Spain","Real Madrid",4.14285714285714,"out"
"Spain","Sevilla",3.28571428571429,"out"
"Spain","Real Betis",2.28571428571429,"out"
"Spain","Real Sociedad",2.28571428571429,"out"
"Spain","Villarreal",2,"out"
"Spain","FC Barcelona",1.42857142857143,"out"
"Spain","Atlético Madrid",1.14285714285714,"out"
"Belgium","Union Saint-Gilloise",4,"out"
"Belgium","Club Brugge",3.4,"out"
"Belgium","Anderlecht",3.4,"out"
"Belgium","AA Gent",2.6,"out"
"Belgium","Royal Antwerp",0.8,"out"
"Netherlands","AZ Alkmaar",4.8,"out"
"Netherlands","Feyenoord",3.4,"out"
"Netherlands","PSV Eindhoven",3,"out"
"Netherlands","Ajax",1.8,"out"
"Netherlands","FC Twente Enschede",0.5,"out"
"France","Paris Saint-Germain",3.16666666666667,"out"
"France","OGC Nice",2.5,"out"
"France","Stade Rennais",2.16666666666667,"out"
"France","AS Monaco",1.91666666666667,"out"
"France","FC Nantes",1.5,"out"
"France","Olympique Marseille",1.33333333333333,"out"
"Portugal","Benfica",4.83333333333333,"out"
"Portugal","FC Porto",3,"out"
"Portugal","Sporting CP Lisbon",2.83333333333333,"out"
"Portugal","Sporting Braga",1.16666666666667,"out"
"Portugal","Vitória Guimarães",0.416666666666667,"out"
"Portugal","Gil Vicente",0.25,"out"
"Turkey","Fenerbahçe",4.2,"out"
"Turkey","Istanbul Basaksehir",3.4,"out"
"Turkey","Sivasspor",2,"out"
"Turkey","Trabzonspor",1.7,"out"
"Turkey","Konyaspor",0.5,"out"
"Switzerland","FC Basel",5.625,"out"
"Switzerland","FC Zürich",1.625,"out"
"Switzerland","Young Boys",1.25,"out"
"Switzerland","FC Lugano",0,"out"
"Poland","Lech Poznan",5.5,"out"
"Poland","Raków Czestochowa",1.25,"out"
"Poland","Lechia Gdansk",0.625,"out"
"Poland","Pogon Szczecin",0.375,"out"
"Czech Republic","Slavia Praha",2.625,"out"
"Czech Republic","Viktoria Plzen",2.375,"out"
"Czech Republic","1.FC Slovácko",1.625,"out"
"Czech Republic","Sparta Praha",0.125,"out"
"Liechtenstein","FC Vaduz",6.5,"out"
"Israel","Hapoel Beer-Sheva",2.75,"out"
"Israel","Maccabi Haifa",2.5,"out"
"Israel","Maccabi Tel-Aviv",0.875,"out"
"Israel","Maccabi Netanya",0.125,"out"
"Sweden","Djurgårdens IF",4.5,"out"
"Sweden","Malmö FF",1.25,"out"
"Sweden","AIK Stockholm",0.5,"out"
"Sweden","IF Elfsborg",0,"out"
"Romania","CFR Cluj",3.625,"out"
"Romania","FCSB",1.5,"out"
"Romania","Universitatea Craiova",0.875,"out"
"Romania","Sepsi OSK",0.25,"out"
"Slovakia","Slovan Bratislava",4.125,"out"
"Slovakia","DAC Dunajska Streda",1,"out"
"Slovakia","Spartak Trnava",0.5,"out"
"Slovakia","MFK Ruzomberok",0.375,"out"
"Denmark","FC Midtjylland",2,"out"
"Denmark","FC København",1.7,"out"
"Denmark","Silkeborg IF",0.9,"out"
"Denmark","Viborg FF",0.8,"out"
"Denmark","Brøndby IF",0.5,"out"
"Hungary","Ferencváros",4,"out"
"Hungary","FC Fehérvár",1,"out"
"Hungary","Kisvárda FC",0.75,"out"
"Hungary","Puskás Akadémia",0.125,"out"
"Norway","Molde FK",2.25,"out"
"Norway","Bodø/Glimt",2.125,"out"
"Norway","Viking Stavanger",0.875,"out"
"Norway","Lillestrøm SK",0.5,"out"
"Ukraine","Shakhtar Donetsk",2.6,"out"
"Ukraine","SC Dnipro-1",1.8,"out"
"Ukraine","Dynamo Kyiv",0.9,"out"
"Ukraine","Vorskla Poltava",0.2,"out"
"Ukraine","Zorya Luhansk",0.2,"out"
"Serbia","Partizan Belgrade",3,"out"
"Serbia","Crvena zvezda",1.625,"out"
"Serbia","Cukaricki Belgrade",0.5,"out"
"Serbia","Radnicki Nis",0.25,"out"
"Cyprus","AEK Larnaca",2.3,"out"
"Cyprus","Apollon Limassol",1.4,"out"
"Cyprus","APOEL Nicosia",0.8,"out"
"Cyprus","Omonia Nicosia",0.4,"out"
