"","club","clubLabel","venue","venueLabel","coordinates","breitengrad","laengengrad"
"77","http://www.wikidata.org/entity/Q50602","Manchester City F.C.","http://www.wikidata.org/entity/Q48159","City of Manchester Stadium","-2.200277777 53.483055555","53.483055555","-2.200277777"
"78","http://www.wikidata.org/entity/Q73971","Clube Náutico Capibaribe","http://www.wikidata.org/entity/Q48344","Recife","-34.880833333 -8.053888888","-8.053888888","-34.880833333"
"79","http://www.wikidata.org/entity/Q60495","Flamurtari Vlorë","http://www.wikidata.org/entity/Q60676","Flamurtari Stadium","19.48898611 40.45592222","40.45592222","19.48898611"
"80","http://www.wikidata.org/entity/Q102720","Hertha BSC","http://www.wikidata.org/entity/Q151374","Olympiastadion Berlin","13.239444444 52.514722222","52.514722222","13.239444444"
"81","http://www.wikidata.org/entity/Q104770","1. FC Köln","http://www.wikidata.org/entity/Q151893","RheinEnergie Stadion","6.875 50.933611","50.933611","6.875"
"82","http://www.wikidata.org/entity/Q101959","Borussia Mönchengladbach","http://www.wikidata.org/entity/Q154074","Borussia-Park","6.385463888 51.174583333","51.174583333","6.385463888"
"83","http://www.wikidata.org/entity/Q51976","SV Werder Bremen","http://www.wikidata.org/entity/Q154475","Weserstadion","8.8375 53.066389","53.066389","8.8375"
"84","http://www.wikidata.org/entity/Q101859","VfL Wolfsburg","http://www.wikidata.org/entity/Q155603","Volkswagen Arena","10.803889 52.431944","52.431944","10.803889"
"85","http://www.wikidata.org/entity/Q104761","Bayer 04 Leverkusen","http://www.wikidata.org/entity/Q156630","BayArena","7.002205555 51.038255555","51.038255555","7.002205555"
"86","http://www.wikidata.org/entity/Q52942","Lech Poznan","http://www.wikidata.org/entity/Q188699","Stadion Miejski","16.858056 52.397222","52.397222","16.858056"
"87","http://www.wikidata.org/entity/Q81888","AFC Ajax","http://www.wikidata.org/entity/Q207109","Johan Cruyff Arena","4.941944444 52.314166666","52.314166666","4.941944444"
"88","http://www.wikidata.org/entity/Q117996","Al-Shorta Baghdad","http://www.wikidata.org/entity/Q285983","Al-Shaab Stadium","44.435438 33.324906","33.324906","44.435438"
"89","http://www.wikidata.org/entity/Q75729","Sporting CP","http://www.wikidata.org/entity/Q287359","Estádio José Alvalade","-9.160783333 38.761194444","38.761194444","-9.160783333"
"90","http://www.wikidata.org/entity/Q107818","FC Energie Cottbus","http://www.wikidata.org/entity/Q290234","Stadion der Freundschaft","14.345556 51.751389","51.751389","14.345556"
"91","http://www.wikidata.org/entity/Q106394","SC Freiburg","http://www.wikidata.org/entity/Q311458","Dreisamstadion","7.893056 47.988889","47.988889","7.893056"
